Loss Function,Algorithm,Dataset Length,Dataset Width,Subset Length,Computation Time,Loss
"Uni-criterion: discreteCoverage, coverage",greedySwap,100,10,10,0.014171666000038385,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,100,10,10,0.0032406251411885023,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,100,10,10,0.0030266251415014267,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,100,10,10,0.01877420791424811,3.1326972202328496
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,100,10,10,0.0032510829623788595,6.2536616078774
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,100,10,10,0.0031421659514307976,9.663750236031643
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,100,10,10,0.030100167030468583,-97.01260671122648
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,100,10,10,0.004684125073254108,-94.15893197462522
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,100,10,10,0.005048541119322181,-90.43070551677079
"Uni-criterion: discreteCoverage, coverage",greedySwap,100,10,10,0.01631720899604261,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,100,10,10,0.0026693339459598064,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,100,10,10,0.0027672909200191498,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,100,10,10,0.0177564169280231,3.341377352523004
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,100,10,10,0.0034041660837829113,5.736224030623033
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,100,10,10,0.003438415937125683,9.549902671115778
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,100,10,10,0.04467050009407103,-96.10659552647243
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,100,10,10,0.005960041889920831,-93.81627590191427
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,100,10,10,0.0047912090085446835,-90.25766060322269
"Uni-criterion: discreteCoverage, coverage",greedySwap,100,10,10,0.012879583053290844,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,100,10,10,0.004375749966129661,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,100,10,10,0.002682124963030219,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,100,10,10,0.02076887502335012,4.076999127039279
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,100,10,10,0.0037532919086515903,6.43835256542712
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,100,10,10,0.003218000056222081,9.24656822549397
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,100,10,10,0.031218582997098565,-96.92974634555996
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,100,10,10,0.008030042052268982,-93.80718817606845
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,100,10,10,0.0063637918792665005,-90.49353781837372
"Uni-criterion: discreteCoverage, coverage",greedySwap,100,10,10,0.012134750140830874,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,100,10,10,0.003606917103752494,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,100,10,10,0.0029430841095745564,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,100,10,10,0.017712708096951246,4.205649153598492
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,100,10,10,0.0033494578674435616,5.591759112127856
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,100,10,10,0.0033348328433930874,9.691630887142505
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,100,10,10,0.033065499970689416,-96.65308649398155
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,100,10,10,0.007544250227510929,-94.72627045730337
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,100,10,10,0.006298416992649436,-90.63500057325312
"Uni-criterion: discreteCoverage, coverage",greedySwap,100,10,10,0.01653599995188415,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,100,10,10,0.003790375078096986,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,100,10,10,0.005953916115686297,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,100,10,10,0.018261041026562452,3.085045943056145
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,100,10,10,0.003152624936774373,6.543030635579654
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,100,10,10,0.0035579160321503878,9.762295220826486
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,100,10,10,0.03753362479619682,-96.42306955208329
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,100,10,10,0.005111082922667265,-93.75273883846877
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,100,10,10,0.004689541878178716,-90.38560361819107
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.031936208019033074,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.006589584052562714,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.006487124832347035,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.03725670790299773,2.9197990771803926
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.0068308329209685326,5.494427283371946
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.006579374894499779,9.75547827998814
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.07204862497746944,-97.16714548626653
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.011268750065937638,-94.20941472633773
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.0128024579025805,-89.90254764018245
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.045264750020578504,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.006835834123194218,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.007060958072543144,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.037411042023450136,2.9874592598270637
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.0069615410175174475,5.368486436751223
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.006717124953866005,9.695609187964202
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.07080399990081787,-97.3036700719915
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.010958540951833129,-93.47347506923116
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.011159291956573725,-90.24851121153519
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.0327139999717474,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.006349166855216026,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.006310333032160997,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.037003917153924704,2.6849630157502706
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.006522374926134944,5.84163897719205
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.006408750079572201,9.686536146654705
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.07019612495787442,-97.489428442853
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.010444542160257697,-94.46985156340993
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.010523292003199458,-90.2399411908882
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.033328042132779956,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.006713374983519316,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.01094812504015863,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.036739957984536886,3.0223471504433572
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.0068937079049646854,5.250611072196625
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.006508625112473965,9.664357295537991
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.08161308313719928,-97.92174826838914
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.012644625036045909,-93.7200110377592
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.015046832850202918,-90.18456614273236
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.036195458145812154,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.007061041193082929,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.0068902920465916395,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.03713033301755786,2.734077637826818
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.0068410420790314674,5.381824242097098
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.0064771659672260284,9.842809738244524
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.06841204199008644,-97.50277458720853
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.010638167150318623,-94.26398563889293
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.01022425014525652,-90.28049360629754
"Uni-criterion: discreteCoverage, coverage",greedySwap,300,10,10,0.07042808388359845,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,300,10,10,0.01189754088409245,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,300,10,10,0.011707167141139507,-100.0
